the_geom,OBJECTID,BORO,TYPE,PROVIDER,NAME,LOCATION,LAT,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID,ACTIVATED,BOROCODE,BORONAME,NTACODE,NTANAME,COUNDIST,POSTCODE,BOROCD,CT2010,BOROCT2010,BIN,BBL,DOITT_ID
POINT (-73.94378352943846 40.793008799914865),7106,MN,Free,LinkNYC - Citybridge,mn-11-120221,1966 3 AVENUE,40.793009,-73.943784,999816.001664,228196.422594,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000903,03/22/2016 12:00:00 AM +0000,1,Manhattan,MN33,East Harlem South,8,10029,111,172,1017200,1052113,1016360030,3384
POINT (-73.94285893992893 40.794273120376374),7107,MN,Free,LinkNYC - Citybridge,mn-11-120232,2004 3 AVENUE,40.794273,-73.942859,1000071.71441,228657.223838,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000904,03/22/2016 12:00:00 AM +0000,1,Manhattan,MN33,East Harlem South,8,10029,111,172,1017200,1082321,1016380030,3385
POINT (-73.94239654022637 40.79491137992468),7108,MN,Free,LinkNYC - Citybridge,mn-11-107915,2022 3 AVENUE,40.794911,-73.942397,1000199.59473,228889.847716,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000905,07/20/2016 12:00:00 AM +0000,1,Manhattan,MN33,East Harlem South,8,10029,111,172,1017200,1052207,1016390030,3386
POINT (-73.94033699948231 40.797303000185345),7109,MN,Free,LinkNYC - Citybridge,mn-11-120229,2105 3 AVENUE,40.797303,-73.940337,1000769.25927,229761.579569,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000906,03/22/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10029,111,188,1018800,1052515,1016650000,3387
POINT (-73.94025620968493 40.79783525002822),7110,MN,Free,LinkNYC - Citybridge,mn-11-107218,2120 3 AVENUE,40.797835,-73.940256,1000791.49578,229955.511923,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000907,03/22/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10029,111,182,1018200,1084329,1016430040,3388
POINT (-73.94003499969534 40.79770900036906),7111,MN,Free,LinkNYC - Citybridge,mn-11-116230,2119 3 AVENUE,40.797709,-73.940035,1000852.77453,229909.556635,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000908,03/22/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10029,111,188,1018800,1076374,1016650050,3389
POINT (-73.94003626021912 40.79813945967899),7112,MN,Free,LinkNYC - Citybridge,mn-11-120240,2126 3 AVENUE,40.798139,-73.940036,1000852.31816,230066.387686,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000909,07/01/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,182,1018200,1052300,1016440030,3390
POINT (-73.9372489994576 40.80154018259323),7113,MN,Free,LinkNYC - Citybridge,mn-11-137841,2239 3 AVENUE,40.80154,-73.937249,1001623.14667,231305.930154,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000911,03/31/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,194,1019400,1054622,1017860050,3391
POINT (-73.93728906984869 40.801898610264566),7114,MN,Free,LinkNYC - Citybridge,mn-11-120235,2246 3 AVENUE,40.801899,-73.937289,1001611.95936,231436.509946,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000912,04/11/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,196,1019600,1054415,1017710030,3392
POINT (-73.93672101991655 40.80266344039473),7115,MN,Free,LinkNYC - Citybridge,mn-11-142952,2266 3 AVENUE,40.802663,-73.936721,1001769.02663,231715.277433,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000913,03/30/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,196,1019600,1054456,1017720130,3393
POINT (-73.9362700001787 40.80286999963458),7116,MN,Free,LinkNYC - Citybridge,mn-11-143437,2277 3 AVENUE,40.80287,-73.93627,1001893.83839,231790.624723,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000914,06/15/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,194,1019400,1087594,1017887500,3394
POINT (-73.93610685021419 40.80351566972458),7117,MN,Free,LinkNYC - Citybridge,mn-11-143675,2292 3 AVENUE,40.803516,-73.936107,1001938.83535,232025.897875,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000915,03/22/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,196,1019600,1087605,1017730020,3395
POINT (-73.93613900042621 40.80373100042477),7118,MN,Free,LinkNYC - Citybridge,mn-11-144673,192 EAST 125 STREET,40.803731,-73.936139,1001929.87736,232104.343912,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000916,03/28/2016 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,196,1019600,1087605,1017730020,3396
POINT (-73.9635832397178 40.76587982980208),7119,MN,Free,LinkNYC - Citybridge,mn-08-120980,1126 3 AVENUE,40.76588,-73.963583,994337.690771,218309.523733,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000918,04/22/2016 12:00:00 AM +0000,1,Manhattan,MN40,Upper East Side-Carnegie Hill,4,10065,108,120,1012000,1042435,1014000040,3397
POINT (-73.98184115133428 40.76956574177474),7120,MN,Free,LinkNYC - Citybridge,mn-07-122843,1858 BROADWAY,40.769566,-73.981841,989279.846556,219650.84815,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000919,09/30/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,3,10023,107,145,1014500,1027191,1011137500,3398
POINT (-73.98192926233357 40.76981618562021),7121,MN,Free,LinkNYC - Citybridge,mn-07-133501,1860 BROADWAY,40.769816,-73.981929,989255.421736,219742.088125,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000920,09/30/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,3,10023,107,145,1014500,1087510,1011147500,3399
POINT (-73.98250198057767 40.769838680345686),7122,MN,Free,LinkNYC - Citybridge,mn-07-133518,1855 BROADWAY,40.769839,-73.982502,989096.782617,219750.251494,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000922,09/30/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,3,10023,107,145,1014500,1027193,1011130050,3400
POINT (-73.98193000027774 40.77380599980979),7123,MN,Free,LinkNYC - Citybridge,mn-07-134467,1972 BROADWAY,40.773806,-73.98193,989254.917472,221195.710545,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000924,10/16/2017 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1028840,1011387500,3401
POINT (-73.98200508015601 40.77472310969574),7124,MN,Free,LinkNYC - Citybridge,mn-07-121339,1992 BROADWAY,40.774723,-73.982005,989234.053668,221529.840127,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000926,07/19/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1084564,1011397500,3402
POINT (-73.98238800027917 40.774913000230555),7125,MN,Free,LinkNYC - Citybridge,mn-07-135046,1981 BROADWAY,40.774913,-73.982388,989127.982358,221599.002062,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000927,10/16/2017 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1028850,1011390010,3403
POINT (-73.98257100013087 40.774894000434166),7126,MN,Free,LinkNYC - Citybridge,mn-07-133488,1972 BROADWAY,40.774894,-73.982571,989077.298404,221592.069661,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000928,07/19/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1028850,1011390010,3404
POINT (-73.98250699947936 40.7747569999626),7127,MN,Free,LinkNYC - Citybridge,mn-07-134275,1967 BROADWAY,40.774757,-73.982507,989095.034589,221542.159328,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000929,07/19/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1028839,1011387500,3405
POINT (-73.98239982041957 40.7746458399951),7128,MN,Free,LinkNYC - Citybridge,mn-07-134274,1967 BROADWAY,40.774646,-73.9824,989124.7281,221501.66597,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000930,07/19/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1028839,1011387500,3406
POINT (-73.98182878950341 40.77539027976167),7129,MN,Free,LinkNYC - Citybridge,mn-07-121337,2008 BROADWAY,40.77539,-73.981829,989282.830474,221772.922646,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000932,07/18/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1028937,1011400030,3407
POINT (-73.98197300049026 40.77553200010043),7130,MN,Free,LinkNYC - Citybridge,mn-07-134449,2008 BROADWAY,40.775532,-73.981973,989242.878126,221824.54787,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000933,09/09/9999 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1070362,1011407500,3408
POINT (-73.98235021043112 40.7757949602237),7131,MN,Free,LinkNYC - Citybridge,mn-07-134469,2001 BROADWAY,40.775795,-73.98235,989138.38424,221920.3318,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000934,08/03/2017 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1028950,1011407500,3409
POINT (-73.98196293972003 40.77600984030706),7132,MN,Free,LinkNYC - Citybridge,mn-07-108233,2018 BROADWAY,40.77601,-73.981963,989245.628776,221998.641682,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000936,12/14/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1028948,1011400050,3410
POINT (-73.98193738982434 40.77631103008182),7133,MN,Free,LinkNYC - Citybridge,mn-07-121336,2020 BROADWAY,40.776311,-73.981937,989252.682568,222108.376699,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000937,10/28/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1029632,1011410010,3411
POINT (-73.98232079041048 40.77652299038268),7134,MN,Free,LinkNYC - Citybridge,mn-07-140140,2029 BROADWAY,40.776523,-73.982321,989146.47904,222185.579301,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000938,09/09/9999 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1076231,1011417500,3412
POINT (-73.9824295903197 40.776473190326975),7135,MN,Free,LinkNYC - Citybridge,mn-07-133487,2029 BROADWAY,40.776473,-73.98243,989116.349179,222167.429403,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000939,07/19/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,153,1015300,1029632,1011410010,3413
POINT (-73.98190426973912 40.77713717013371),7136,MN,Free,LinkNYC - Citybridge,mn-07-121335,2040 BROADWAY,40.777137,-73.981904,989261.793442,222409.369207,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000942,07/19/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,157,1015700,1029749,1011427500,3414
POINT (-73.98225463942306 40.778148040265854),7137,MN,Free,LinkNYC - Citybridge,mn-07-133652,2061 BROADWAY,40.778148,-73.982255,989164.680447,222777.643405,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000944,08/03/2017 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,159,1015900,1030418,1011630030,3415
POINT (-73.98217819013591 40.77860682984082),7138,MN,Free,LinkNYC - Citybridge,mn-07-108166,2077 BROADWAY,40.778607,-73.982178,989185.819513,222944.800223,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000945,05/24/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,159,1015900,1081034,1011637500,3416
POINT (-73.9820543905848 40.779095939979726),7139,MN,Free,LinkNYC - Citybridge,mn-07-133403,2085 BROADWAY,40.779096,-73.982054,989220.069772,223123.00656,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000946,05/16/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,159,1015900,1077846,1011647500,3417
POINT (-73.98198994994016 40.77933083040038),7140,MN,Free,LinkNYC - Citybridge,mn-07-133410,2095 BROADWAY,40.779331,-73.98199,989237.899133,223208.588738,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000947,04/27/2016 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,159,1015900,1030519,1011640040,3418
POINT (-73.98139598958379 40.78001946971169),7141,MN,Free,LinkNYC - Citybridge,mn-07-136130,2114 BROADWAY,40.780019,-73.981396,989402.343686,223459.517698,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000949,10/16/2017 12:00:00 AM +0000,1,Manhattan,MN14,Lincoln Square,6,10023,107,159,1015900,1030545,1011657510,3419
POINT (-73.98131051020113 40.78032124020314),7142,MN,Free,LinkNYC - Citybridge,mn-07-133408,2120 BROADWAY,40.780321,-73.981311,989425.993573,223569.467937,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000951,05/26/2016 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1030741,1011667500,3420
POINT (-73.98117276047891 40.78082575008983),7143,MN,Free,LinkNYC - Citybridge,mn-07-133406,2130 BROADWAY,40.780826,-73.981173,989464.103405,223753.286139,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000952,05/12/2016 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1030727,1011660040,3421
POINT (-73.98157091002983 40.78081899044713),7144,MN,Free,LinkNYC - Citybridge,mn-07-136462,2121 BROADWAY,40.780819,-73.981571,989353.838534,223750.799923,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000954,11/01/2017 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1030724,1011660020,3422
POINT (-73.98152267011933 40.780992790388126),7145,MN,Free,LinkNYC - Citybridge,mn-07-121315,2135 BROADWAY,40.780993,-73.981523,989367.184964,223814.123944,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000955,05/12/2016 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1030728,1011660050,3423
POINT (-73.98096099964052 40.78147400007427),7146,MN,Free,LinkNYC - Citybridge,mn-07-109544,2150 BROADWAY,40.781474,-73.980961,989522.698104,223989.478252,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000957,05/26/2016 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1088786,1011677500,3424
POINT (-73.9808266994558 40.781706760217155),7147,MN,Free,LinkNYC - Citybridge,mn-07-121223,2160 BROADWAY,40.781707,-73.980827,989559.872899,224074.288778,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000958,05/26/2016 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1030860,1011680020,3425
POINT (-73.98083300058543 40.7818429999754),7148,MN,Free,LinkNYC - Citybridge,mn-07-133404,2160 BROADWAY,40.781843,-73.980833,989558.116997,224123.925161,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000959,06/27/2016 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1030861,1011680020,3426
POINT (-73.98118400013165 40.781983999847455),7149,MN,Free,LinkNYC - Citybridge,mn-07-136444,2163 BROADWAY,40.781984,-73.981184,989460.899999,224175.275124,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000960,10/16/2017 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10024,107,163,1016300,1030859,1011680010,3427
POINT (-73.98058628972659 40.782528080173925),7150,MN,Free,LinkNYC - Citybridge,mn-07-121221,2182 BROADWAY,40.782528,-73.980586,989626.385889,224373.538179,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000963,06/27/2016 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10024,107,163,1016300,1088838,1011690020,3428
POINT (-73.98070877995283 40.783121360203204),7151,MN,Free,LinkNYC - Citybridge,mn-07-138145,2199 BROADWAY,40.783121,-73.980709,989592.416141,224589.68276,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000966,01/03/2018 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10024,107,163,1016300,1030900,1011690060,3429
POINT (-73.9807560000419 40.78322600007488),7152,MN,Free,LinkNYC - Citybridge,mn-07-121308,2199 BROADWAY,40.783226,-73.980756,989579.330865,224627.803747,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000967,01/03/2018 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10024,107,163,1016300,1030900,1011690060,3430
POINT (-73.980253000443 40.78319099983622),7153,MN,Free,LinkNYC - Citybridge,mn-07-121232,2202 BROADWAY,40.783191,-73.980253,989718.631767,224615.082972,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000968,05/12/2016 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10024,107,167,1016700,1079386,1011700010,3431
POINT (-73.9801230004538 40.78337300036574),7154,MN,Free,LinkNYC - Citybridge,mn-07-133397,2206 BROADWAY,40.783373,-73.980123,989754.618244,224681.400096,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000969,01/03/2018 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10024,107,167,1016700,1079386,1011700010,3432
POINT (-73.97975217945377 40.78364875041703),7155,MN,Free,LinkNYC - Citybridge,mn-07-133623,230 BROADWAY,40.783649,-73.979752,989857.287986,224781.888741,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000970,04/02/2018 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10024,107,167,1016700,1079387,1011700010,3433
